case_name,speed_target_rpm,iq_target_a,load_torque_nm,mean_speed_rpm,mean_id_a,mean_iq_ref_a,mean_iq_a,mean_phase_current_rms_a,mean_p_elec_w,mean_p_dc_w,mean_ibus_a,mean_abs_ibus_a,mean_p_mech_shaft_w,mean_p_cu_w,mean_p_fric_w,mean_p_drive_loss_w,motor_efficiency_pct,efficiency_pct,speed_error_pct,iq_error_a,is_valid,drive_efficiency
case011_2500rpm_10A,2500,10,1.96555553997151,1993.159190357,-0.000995101344459951,15,9.9789365946145,7.19231520229976,444.348949674505,467.735736499478,9.74449451040581,9.74449451040581,410.256928724407,33.1094011702071,4.35653501435601,23.3867868249735,92.3276467796153,87.7112644406346,-20.2736323857201,-0.0210634053854992,0,0.95
case012_2500rpm_12A,2500,12,2.3639026357218,1947.20223842764,0.00135054807596411,15.5,11.9787158284723,8.58327142703536,530.077545101261,557.976363264485,11.6245075680101,11.6245075680101,482.024666684373,47.154114597123,4.15795089660605,27.8988181632241,90.9347455177132,86.3880082418276,-22.1119104628945,-0.0212841715277285,0,0.95
case013_2500rpm_14A,2500,14,2.76224973147208,1901.61695787555,-0.000396722290284378,18,13.9787992354496,9.98601144260848,614.742344977493,647.097205239466,13.4811917758222,13.4811917758222,550.065744027984,63.8260577216475,3.96554898709785,32.3548602619732,89.4790717643052,85.00511817609,-23.9353216849781,-0.021200764550418,0,0.95
case014_2500rpm_16A,2500,16,3.16059682722237,1855.0397615653,0.00469746933739423,20.5,15.9771282449552,11.3910155052977,697.419312155489,734.12559174262,15.2942831613046,15.2942831613046,613.975357480134,83.0498376765489,3.7736679353972,36.7062795871307,88.0353249155866,83.6335586698074,-25.7984095373881,-0.0228717550447843,0,0.95
case015_2500rpm_18A,2500,18,3.55894392297265,1807.76880440729,-0.00175872711139871,23,17.9716404120621,12.7954241609288,778.850129874928,819.842241973608,17.0800467077835,17.0800467077835,673.740494178896,104.790828997144,3.58379378078006,40.9921120986795,86.5045107313636,82.1792851947955,-27.6892478237085,-0.0283595879379419,0,0.95
case016_2500rpm_20A,2500,20,3.95729101872294,1760.12749035901,0.000129287302443909,25.5,19.9726632044927,14.2060605740539,858.693464363587,903.887857224827,18.8309970255173,18.8309970255173,729.408354534873,129.169871109412,3.39739065519449,45.1943928612405,84.9439741660859,80.6967754577817,-29.5949003856396,-0.0273367955073134,0,0.95
case017_2500rpm_25A,2500,25,4.95315875809865,1640.96894334646,0.000212680475087235,31.75,24.966454247941,17.7309627513541,1051.90118694218,1107.26440730756,23.0680084855742,23.0680084855742,851.160043121348,201.223425009545,2.95296268781272,55.363220365379,80.9163497187052,76.8705322327699,-34.3612422661416,-0.0335457520590161,0,0.95
case018_2500rpm_30A,2500,30,5.94902649747436,1524.28872090517,-0.00273117791361469,38,29.963674738378,21.26262864123,1238.59339642453,1303.78252255214,27.1621358865028,27.1621358865028,949.602298898365,289.366206079144,2.54795473294166,65.1891261276078,76.6677992664583,72.8344093031354,-39.0284511637933,-0.0363252616219896,0,0.95
case019_2500rpm_35A,2500,35,6.94489423685008,1412.27134077506,0.00247059121670499,44.25,34.9584245377471,24.7950278088408,1419.57819627926,1494.2928381887,31.1311007955979,31.1311007955979,1027.09922218733,393.498518256563,2.1872253366035,74.7146419094349,72.3524230563258,68.7348019035095,-43.5091463689974,-0.041575462252851,0,0.95
case020_2500rpm_40A,2500,40,7.94076197622579,1306.19788717029,0.00110139771300038,50.5,39.9459112892186,28.3239404375476,1597.43353215859,1681.50898121957,35.031437108741,35.031437108741,1086.17492639226,513.477297502333,1.87100604139847,84.0754490609793,67.994999762183,64.5952497740738,-47.7520845131886,-0.0540887107814072,0,0.95
case021_4900rpm_0.5A,4900,0.5,0.048274093928938,2182.560220093,0.000705583659796163,15,0.359889924017016,1.42421896309973,13.6774106387293,15.3854385399655,0.320529969582616,0.701648848012562,11.0333903787391,1.29827719908858,5.22383807730094,1.70802790123623,80.6687074781294,71.7132004400039,-55.4579546919796,-0.140110075982984,0,0.95
case022_4900rpm_1A,4900,1,0.147860867866509,2174.44325492924,-0.00331978199346855,15,0.857909801698178,1.52807856047059,36.4100849157291,38.641646940344,0.805034311257167,0.926617941051128,33.66897906261,1.49453216686506,5.18505530733034,2.23156202461494,92.4715752257558,87.1313252113427,-55.6236070422605,-0.142090198301822,0,0.95
case023_4900rpm_2A,4900,2,0.347034415741652,2157.5506163621,-0.00116901614116157,15,1.85763008229497,1.92300281265647,81.9661469725782,86.280154707977,1.79750322308285,1.79750322308285,78.4083215844512,2.36686638018107,5.10480576587532,4.31400773539882,95.6593965685403,90.8764267401133,-55.9683547681205,-0.142369917705033,0,0.95
case024_4900rpm_3A,4900,3,0.546207963616794,2139.81358746886,0.00025961718044453,15,2.85821567353376,2.46176544225284,127.482737274526,134.192355025817,2.79567406303785,2.79567406303785,122.394692809516,3.87888803376364,5.0212184708245,6.70961775129093,96.0088365108974,91.2083946853524,-56.330334949615,-0.141784326466242,0,0.95
case025_4900rpm_4A,4900,4,0.745381511491937,2121.30347361222,-0.000946502309245438,15,3.85723685505577,3.06842557326235,172.776073499551,181.869551052159,3.78894898025331,3.78894898025331,165.580823187838,6.02622148091119,4.93472371214202,9.09347755260788,95.8355053648492,91.0437300966068,-56.7080923752608,-0.142763144944226,0,0.95
case026_4900rpm_5A,4900,5,0.94455505936708,2102.03838412051,0.00107208429777661,15,4.85836675925544,3.71183830498465,217.937846781584,229.408259770089,4.77933874521019,4.77933874521019,207.9201303389,8.81844479268498,4.84549913395913,11.4704129885046,95.4034067094716,90.6332363739979,-57.1012574669284,-0.141633240744564,0,0.95
