time,cmd_raw,pos_ref,vel_ref,acc_ref,acc_unsat,acc_sat_flag,axis_raw,axis_mf_noff,axis_mf_vff,speed_cmd_raw,speed_cmd_mf_noff,speed_cmd_mf_vff
0.03,6.28318530717959,0.41208,80.7999999999998,7999.99999999997,21358.8185233695,1,1.32526684526032,0.0736340286189119,0.190472725658819,300,74.9932007550281,130.723067641253
0.0301,6.28318530717959,0.42024,81.5999999999998,7999.99999999997,21192.2474370206,1,1.34695100969457,0.0762666063431876,0.195977394312359,300,76.2226341366825,132.128462677392
0.0302,6.28318530717959,0.42848,82.3999999999998,7999.99999999997,21025.221559301,1,1.36873912207339,0.0789630965592857,0.201580167099553,300,77.4557707005719,133.529993457814
0.0303,6.28318530717959,0.4368,83.1999999999998,7999.99999999997,20857.7408902105,1,1.39062988304747,0.0817242462040478,0.20728156465557,300,78.6924450922867,134.927542931306
0.0304,6.28318530717959,0.4452,83.9999999999998,7999.99999999997,20689.8054297492,1,1.41262200950938,0.0845507970945653,0.213082095987893,300,79.9324930518362,136.320996604214
0.0305,6.28318530717959,0.45368,84.7999999999998,7999.99999999997,20521.4151779171,1,1.43471423439051,0.0874434857882576,0.218982258481737,300,81.1757514451218,137.710242539947
0.0306,6.28318530717959,0.462239999999999,85.5999999999998,7999.99999999997,20352.5701347143,1,1.45690530646063,0.0904030434461472,0.224982537908605,300,82.4220582947069,139.095171357783
0.0307,6.28318530717959,0.470879999999999,86.3999999999998,7999.99999999997,20183.2703001406,1,1.47919399012987,0.0934301956993255,0.231083408437926,300,83.671252809885,140.475676230989
0.0308,6.28318530717959,0.479599999999999,87.1999999999998,7999.99999999997,20013.5156741961,1,1.50157906525325,0.0965256625186092,0.237285332651735,300,84.9231754160444,141.851652884261
0.0309,6.28318530717959,0.488399999999999,87.9999999999998,7999.99999999997,19843.3062568808,1,1.52405932693758,0.099690158087381,0.24358876156236,300,86.1776677833332,143.222999590496
0.031,6.28318530717959,0.497279999999999,88.7999999999998,7999.99999999997,19672.6420481947,1,1.54663358535086,0.102924390677611,0.249994134633061,300,87.4345728546227,144.589617166905
0.0311,6.28318530717959,0.506239999999999,89.5999999999998,7999.99999999997,19501.5230481378,1,1.56930066553398,0.106229062529055,0.256501879801591,300,88.6937348727714,145.951408970467
0.0312,6.28318530717959,0.515279999999999,90.3999999999998,7999.99999999997,19329.9492567101,1,1.5920594072148,0.109604869731614,0.263112413506631,300,89.9549994071916,147.308280892756
0.0313,6.28318530717959,0.524399999999999,91.1999999999998,7999.99999999997,19157.9206739116,1,1.61490866462462,0.113052502110866,0.26982614071705,300,91.2182133797186,148.660141354124
0.0314,6.28318530717959,0.533599999999999,91.9999999999998,7999.99999999997,18985.4372997423,1,1.63784730631681,0.11657264311674,0.276643454963961,300,92.4832250897848,150.006901297264
0.0315,6.28318530717959,0.542879999999999,92.7999999999998,7999.99999999997,18812.4991342022,1,1.66087421498785,0.120165969715339,0.28356473837551,300,93.7498842389011,151.348474180164
0.0316,6.28318530717959,0.552239999999999,93.5999999999998,7999.99999999997,18639.1061772913,1,1.6839882873005,0.123833152283898,0.290590361714376,300,95.0180419544456,152.684775968457
0.0317,6.28318530717959,0.561679999999999,94.3999999999998,7999.99999999997,18465.2584290096,1,1.70718843370924,0.127574854508867,0.297720684417914,300,96.2875508127646,154.01572512717
0.0318,6.28318530717959,0.571199999999999,95.1999999999998,7999.99999999997,18290.9558893571,1,1.73047357828788,0.1313917332871,0.304956054640924,300,97.5582648615852,155.341242611901
0.0319,6.28318530717959,0.580799999999999,95.9999999999998,7999.99999999997,18116.1985583338,1,1.75384265855928,0.135284438630158,0.31229680930097,300,98.8300396417437,156.661251859411
0.032,6.28318530717959,0.590479999999999,96.7999999999998,7999.99999999997,17940.9864359397,1,1.77729462532729,0.139253613571687,0.319743274126237,300,100.102732208232,157.975678777657
0.0321,6.28318530717959,0.600239999999999,97.5999999999998,7999.99999999997,17765.3195221748,1,1.8008284425107,0.143299894077886,0.327295763705858,300,101.376201150566,159.28445173527
0.0322,6.28318530717959,0.610079999999999,98.3999999999998,7999.99999999997,17589.1978170391,1,1.82444308697931,0.147423908961023,0.334954581542671,300,102.650306612474,160.587501550487
0.0323,6.28318530717959,0.619999999999999,99.1999999999998,7999.99999999997,17412.6213205326,1,1.84813754839207,0.151626279796009,0.342720020108374,300,103.924910310916,161.884761479548
