index_1based,controller_index_1based,theta_deg,theta_rad,iq_forward_A,iq_backward_A,iq_cog_A,iq_direction_A,iq_ff_raw_A,iq_ff_A,ff_table_value_A,is_active_point
39,39,76,1.32645023151569,0.263829148549197,NaN,0.263829148549197,0,0.276575898073156,0.276235040988962,0.276235040988962,1
40,40,78,1.36135681655558,0.266141589831736,NaN,0.266141589831736,0,0.278888339355695,0.278554250721701,0.278554250721701,1
41,41,80,1.39626340159546,0.268123729385542,NaN,0.268123729385542,0,0.280870478909501,0.28053204395315,0.28053204395315,1
42,42,82,1.43116998663535,0.26977305318129,NaN,0.26977305318129,0,0.282519802705249,0.282167905404744,0.282167905404744,1
43,43,84,1.46607657167524,0.271058951198191,NaN,0.271058951198191,0,0.28380570072215,0.283461761948116,0.283461761948116,1
44,44,86,1.50098315671512,0.272008455807166,NaN,0.272008455807166,0,0.284755205331126,0.284410109494921,0.284410109494921,1
45,45,88,1.53588974175501,0.272610872548595,NaN,0.272610872548595,0,0.285357622072554,0.285011758876114,0.285011758876114,1
46,46,90,1.5707963267949,0.272865467119569,NaN,0.272865467119569,0,0.285612216643528,0.285266043158289,0.285266043158289,1
47,47,92,1.60570291183478,0.272781300087254,NaN,0.272781300087254,0,0.285528049611213,0.285174480011315,0.285174480011315,1
48,48,94,1.64060949687467,0.272330372609063,NaN,0.272330372609063,0,0.285077122133022,0.284733461464754,0.284733461464754,1
49,49,96,1.67551608191456,0.271550640072299,NaN,0.271550640072299,0,0.284297389596258,0.283945385885644,0.283945385885644,1
50,50,98,1.71042266695444,0.270405779815791,NaN,0.270405779815791,0,0.28315252933975,0.282811180721589,0.282811180721589,1
51,51,100,1.74532925199433,0.268925089224017,NaN,0.268925089224017,0,0.281671838747977,0.28133229435148,0.28133229435148,1
52,52,102,1.78023583703422,0.267110274266978,NaN,0.267110274266978,0,0.279857023790938,0.279510463534491,0.279510463534491,1
53,53,104,1.8151424220741,0.264935940758517,NaN,0.264935940758517,0,0.277682690282476,0.277347974016782,0.277347974016782,1
54,54,106,1.85004900711399,0.262441485987352,NaN,0.262441485987352,0,0.275188235511312,0.274847428776204,0.274847428776204,1
55,55,108,1.88495559215388,0.259593332227247,NaN,0.259593332227247,0,0.272340081751206,0.272010034328292,0.272010034328292,1
56,56,110,1.91986217719376,0.256422363021128,NaN,0.256422363021128,0,0.269169112545087,0.268842928953654,0.268842928953654,1
57,57,112,1.95476876223365,0.25292330202742,NaN,0.25292330202742,0,0.265670051551379,0.265348100486152,0.265348100486152,1
58,58,114,1.98967534727354,0.249100413885326,NaN,0.249100413885326,0,0.261847163409285,0.261529870507768,0.261529870507768,1
59,59,116,2.02458193231342,0.244967343649844,NaN,0.244967343649844,0,0.257714093173803,0.257392861563322,0.257392861563322,1
60,60,118,2.05948851735331,0.240502182335327,NaN,0.240502182335327,0,0.253248931859286,0.252942115771957,0.252942115771957,1
61,61,120,2.0943951023932,0.235737318298895,NaN,0.235737318298895,0,0.248484067822854,0.248183057603156,0.248183057603156,1
62,62,122,2.12930168743308,0.230669573070595,NaN,0.230669573070595,0,0.243416322594554,0.243121458718867,0.243121458718867,1
63,63,124,2.16420827247297,0.225305123041323,NaN,0.225305123041323,0,0.238051872565282,0.237763545054525,0.237763545054525,1
64,64,126,2.19911485751286,0.219659349228398,NaN,0.219659349228398,0,0.232406098752357,0.232115818056831,0.232115818056831,1
65,65,128,2.23402144255274,0.213712614013617,NaN,0.213712614013617,0,0.226459363537577,0.226185160874849,0.226185160874849,1
66,66,130,2.26892802759263,0.207498683310428,NaN,0.207498683310428,0,0.220245432834387,0.219978801423098,0.219978801423098,1
67,67,132,2.30383461263252,0.201016287160683,NaN,0.201016287160683,0,0.213763036684642,0.213504278414845,0.213504278414845,1
68,68,134,2.3387411976724,0.194273325782568,NaN,0.194273325782568,0,0.207020075306527,0.206769532734172,0.206769532734172,1
69,69,136,2.37364778271229,0.187286734187133,NaN,0.187286734187133,0,0.200033483711092,0.199782746911812,0.199782746911812,1
70,70,138,2.40855436775217,0.18003888561025,NaN,0.18003888561025,0,0.192785635134209,0.19255243571288,0.19255243571288,1
71,71,140,2.44346095279206,0.172564754198631,NaN,0.172564754198631,0,0.18531150372259,0.185087410601308,0.185087410601308,1
72,72,142,2.47836753783195,0.164864731166022,NaN,0.164864731166022,0,0.177611480689981,0.177396747983812,0.177396747983812,1
73,73,144,2.51327412287183,0.156948200224707,NaN,0.156948200224707,0,0.169694949748666,0.169489862148462,0.169489862148462,1
74,74,146,2.54818070791172,0.148833421099655,NaN,0.148833421099655,0,0.161580170623614,0.161376367783074,0.161376367783074,1
75,75,148,2.58308729295161,0.140504456433502,NaN,0.140504456433502,0,0.153251205957461,0.15306615225818,0.15306615225818,1
76,76,150,2.61799387799149,0.13199728237169,NaN,0.13199728237169,0,0.144744031895649,0.144569342560831,0.144569342560831,1
77,77,152,2.65290046303138,0.12331365354155,NaN,0.12331365354155,0,0.13606040306551,0.135896276704303,0.135896276704303,1
78,78,154,2.68780704807127,0.114464151737964,NaN,0.114464151737964,0,0.127210901261923,0.127059259647857,0.127059259647857,1
79,79,156,2.72271363311115,0.105468091817011,NaN,0.105468091817011,0,0.11821484134097,0.118065638639165,0.118065638639165,1
80,80,158,2.75762021815104,0.0963193711512722,NaN,0.0963193711512722,0,0.109066120675231,0.108928076532081,0.108928076532081,1
81,81,160,2.79252680319093,0.0870291773282335,NaN,0.0870291773282335,0,0.0997759268521928,0.0996594048411144,0.0996594048411144,1
82,82,162,2.82743338823081,0.0776258430061289,NaN,0.0776258430061289,0,0.0903725925300882,0.0902675148331888,0.0902675148331888,1
83,83,164,2.8623399732707,0.0681207932831304,NaN,0.0681207932831304,0,0.0808675428070896,0.0807655597100213,0.0807655597100213,1
84,84,166,2.89724655831059,0.0585086417773827,NaN,0.0585086417773827,0,0.071255391301342,0.071165126374879,0.071165126374879,1
85,85,168,2.93215314335047,0.0488095955354348,NaN,0.0488095955354348,0,0.0615563450593941,0.061477902881362,0.061477902881362,1
86,86,170,2.96705972839036,0.0390270106525219,NaN,0.0390270106525219,0,0.0517737601764812,0.0517156862235845,0.0517156862235845,1
87,87,172,3.00196631343025,0.029189725538544,NaN,0.029189725538544,0,0.0419364750625032,0.0418903788353221,0.0418903788353221,1
88,88,174,3.03687289847013,0.0193097099942425,NaN,0.0193097099942425,0,0.0320564595182017,0.0320139521834433,0.0320139521834433,1
89,89,176,3.07177948351002,0.00938210483607088,NaN,0.00938210483607088,0,0.0221288543600302,0.0220984429861451,0.0220984429861451,1
90,90,178,3.10668606854991,-0.000572537723959222,NaN,-0.000572537723959222,0,0.0121742118000001,0.0121559288519892,0.0121559288519892,1
91,91,180,3.14159265358979,-0.010550535333969,NaN,-0.010550535333969,0,0.00219621418999029,0.0021985209849024,0.0021985209849024,1
92,92,182,3.17649923862968,-0.0205228451322354,NaN,-0.0205228451322354,0,-0.00777609560827612,-0.00776164597182837,-0.00776164597182837,1
93,93,184,3.21140582366957,-0.0304773293411917,NaN,-0.0304773293411917,0,-0.0177305798172324,-0.0177124371056925,-0.0177124371056925,1
94,94,186,3.24631240870945,-0.040418729947583,NaN,-0.040418729947583,0,-0.0276719804236237,-0.0276417316955433,-0.0276417316955433,1
95,95,188,3.28121899374934,-0.05032649339328,NaN,-0.05032649339328,0,-0.0375797438693207,-0.0375357390711218,-0.0375357390711218,1
96,96,190,3.31612557878923,-0.0601970082832227,NaN,-0.0601970082832227,0,-0.0474502587592635,-0.0473857828426046,-0.0473857828426046,1
97,97,192,3.35103216382911,-0.0699928820101281,NaN,-0.0699928820101281,0,-0.0572461324861688,-0.0571781745251802,-0.0571781745251802,1
98,98,194,3.385938748869,-0.0797275481986057,NaN,-0.0797275481986057,0,-0.0669807986746464,-0.0669009844020203,-0.0669009844020203,1
99,99,196,3.42084533390889,-0.089380688360461,NaN,-0.089380688360461,0,-0.0766339388365018,-0.0765423760011113,-0.0765423760011113,1
100,100,198,3.45575191894877,-0.0989405427774805,NaN,-0.0989405427774805,0,-0.0861937932535212,-0.08609058733885,-0.08609058733885,1
101,101,200,3.49065850398866,-0.108403966278678,NaN,-0.108403966278678,0,-0.0956572167547184,-0.0955339949699646,-0.0955339949699646,1
102,102,202,3.52556508902855,-0.117733938698821,NaN,-0.117733938698821,0,-0.104987189174862,-0.104861094986725,-0.104861094986725,1
103,103,204,3.56047167406843,-0.126944586354179,NaN,-0.126944586354179,0,-0.114197836830219,-0.114060525318992,-0.114060525318992,1
104,104,206,3.59537825910832,-0.136016188444262,NaN,-0.136016188444262,0,-0.123269438920303,-0.123121093287495,-0.123121093287495,1
105,105,208,3.63028484414821,-0.144937694438816,NaN,-0.144937694438816,0,-0.132190944914857,-0.132031734377219,-0.132031734377219,1
106,106,210,3.66519142918809,-0.153706806121193,NaN,-0.153706806121193,0,-0.140960056597234,-0.140781607982875,-0.140781607982875,1
107,107,212,3.70009801422798,-0.162287144147441,NaN,-0.162287144147441,0,-0.149540394623481,-0.149360055752458,-0.149360055752458,1
108,108,214,3.73500459926787,-0.17069395438246,NaN,-0.17069395438246,0,-0.157947204858501,-0.157756628280594,-0.157756628280594,1
109,109,216,3.76991118430775,-0.178908427292174,NaN,-0.178908427292174,0,-0.166161677768215,-0.165961116566079,-0.165961116566079,1
110,110,218,3.80481776934764,-0.186920557079498,NaN,-0.186920557079498,0,-0.174173807555539,-0.17396348951557,-0.17396348951557,1
