Position-scan feedforward table export
mode=single-direction
table_points=180
ff_table_file=validated_scan_ff_table.mat
ff_csv_file=validated_scan_ff_table.csv
harmonic1=1
harmonic2=0
amp1=0.06
amp2=0
phase1_deg=0
phase2_deg=0
load_base_torque=0
std_reduction_pct=96.892188
pp_reduction_pct=96.886375

index_1based,theta_deg,theta_rad,iq_ff_A,is_active_point
211,210.000000,3.665191429,0.000000000,0
212,211.000000,3.682644722,0.000000000,0
213,212.000000,3.700098014,0.000000000,0
214,213.000000,3.717551307,0.000000000,0
215,214.000000,3.735004599,0.000000000,0
216,215.000000,3.752457892,0.000000000,0
217,216.000000,3.769911184,0.000000000,0
218,217.000000,3.787364477,0.000000000,0
219,218.000000,3.804817769,0.000000000,0
220,219.000000,3.822271062,0.000000000,0
221,220.000000,3.839724354,0.000000000,0
222,221.000000,3.857177647,0.000000000,0
223,222.000000,3.874630939,0.000000000,0
224,223.000000,3.892084232,0.000000000,0
225,224.000000,3.909537524,0.000000000,0
226,225.000000,3.926990817,0.000000000,0
227,226.000000,3.944444110,0.000000000,0
228,227.000000,3.961897402,0.000000000,0
229,228.000000,3.979350695,0.000000000,0
230,229.000000,3.996803987,0.000000000,0
231,230.000000,4.014257280,0.000000000,0
232,231.000000,4.031710572,0.000000000,0
233,232.000000,4.049163865,0.000000000,0
234,233.000000,4.066617157,0.000000000,0
235,234.000000,4.084070450,0.000000000,0
236,235.000000,4.101523742,0.000000000,0
237,236.000000,4.118977035,0.000000000,0
238,237.000000,4.136430327,0.000000000,0
239,238.000000,4.153883620,0.000000000,0
240,239.000000,4.171336912,0.000000000,0
241,240.000000,4.188790205,0.000000000,0
242,241.000000,4.206243497,0.000000000,0
243,242.000000,4.223696790,0.000000000,0
244,243.000000,4.241150082,0.000000000,0
245,244.000000,4.258603375,0.000000000,0
246,245.000000,4.276056667,0.000000000,0
247,246.000000,4.293509960,0.000000000,0
248,247.000000,4.310963252,0.000000000,0
249,248.000000,4.328416545,0.000000000,0
250,249.000000,4.345869837,0.000000000,0
251,250.000000,4.363323130,0.000000000,0
252,251.000000,4.380776423,0.000000000,0
253,252.000000,4.398229715,0.000000000,0
254,253.000000,4.415683008,0.000000000,0
255,254.000000,4.433136300,0.000000000,0
256,255.000000,4.450589593,0.000000000,0
257,256.000000,4.468042885,0.000000000,0
258,257.000000,4.485496178,0.000000000,0
259,258.000000,4.502949470,0.000000000,0
260,259.000000,4.520402763,0.000000000,0
261,260.000000,4.537856055,0.000000000,0
262,261.000000,4.555309348,0.000000000,0
263,262.000000,4.572762640,0.000000000,0
264,263.000000,4.590215933,0.000000000,0
265,264.000000,4.607669225,0.000000000,0
266,265.000000,4.625122518,0.000000000,0
267,266.000000,4.642575810,0.000000000,0
268,267.000000,4.660029103,0.000000000,0
269,268.000000,4.677482395,0.000000000,0
270,269.000000,4.694935688,0.000000000,0
271,270.000000,4.712388980,0.000000000,0
272,271.000000,4.729842273,0.000000000,0
273,272.000000,4.747295565,0.000000000,0
274,273.000000,4.764748858,0.000000000,0
275,274.000000,4.782202150,0.000000000,0
276,275.000000,4.799655443,0.000000000,0
277,276.000000,4.817108736,0.000000000,0
278,277.000000,4.834562028,0.000000000,0
279,278.000000,4.852015321,0.000000000,0
280,279.000000,4.869468613,0.000000000,0
281,280.000000,4.886921906,0.000000000,0
282,281.000000,4.904375198,0.000000000,0
283,282.000000,4.921828491,0.000000000,0
284,283.000000,4.939281783,0.000000000,0
285,284.000000,4.956735076,0.000000000,0
286,285.000000,4.974188368,0.000000000,0
287,286.000000,4.991641661,0.000000000,0
288,287.000000,5.009094953,0.000000000,0
289,288.000000,5.026548246,0.000000000,0
290,289.000000,5.044001538,0.000000000,0
291,290.000000,5.061454831,0.000000000,0
292,291.000000,5.078908123,0.000000000,0
293,292.000000,5.096361416,0.000000000,0
294,293.000000,5.113814708,0.000000000,0
295,294.000000,5.131268001,0.000000000,0
296,295.000000,5.148721293,0.000000000,0
297,296.000000,5.166174586,0.000000000,0
298,297.000000,5.183627878,0.000000000,0
299,298.000000,5.201081171,0.000000000,0
300,299.000000,5.218534463,0.000000000,0
301,300.000000,5.235987756,0.000000000,0
302,301.000000,5.253441049,0.000000000,0
303,302.000000,5.270894341,0.000000000,0
304,303.000000,5.288347634,0.000000000,0
305,304.000000,5.305800926,0.000000000,0
306,305.000000,5.323254219,0.000000000,0
307,306.000000,5.340707511,0.000000000,0
308,307.000000,5.358160804,0.000000000,0
309,308.000000,5.375614096,0.000000000,0
310,309.000000,5.393067389,0.000000000,0
311,310.000000,5.410520681,0.000000000,0
312,311.000000,5.427973974,0.000000000,0
313,312.000000,5.445427266,0.000000000,0
314,313.000000,5.462880559,0.000000000,0
315,314.000000,5.480333851,0.000000000,0
316,315.000000,5.497787144,0.000000000,0
317,316.000000,5.515240436,0.000000000,0
318,317.000000,5.532693729,0.000000000,0
319,318.000000,5.550147021,0.000000000,0
320,319.000000,5.567600314,0.000000000,0
321,320.000000,5.585053606,0.000000000,0
322,321.000000,5.602506899,0.000000000,0
323,322.000000,5.619960191,0.000000000,0
324,323.000000,5.637413484,0.000000000,0
325,324.000000,5.654866776,0.000000000,0
326,325.000000,5.672320069,0.000000000,0
327,326.000000,5.689773362,0.000000000,0
328,327.000000,5.707226654,0.000000000,0
329,328.000000,5.724679947,0.000000000,0
330,329.000000,5.742133239,0.000000000,0
331,330.000000,5.759586532,0.000000000,0
332,331.000000,5.777039824,0.000000000,0
333,332.000000,5.794493117,0.000000000,0
334,333.000000,5.811946409,0.000000000,0
335,334.000000,5.829399702,0.000000000,0
336,335.000000,5.846852994,0.000000000,0
337,336.000000,5.864306287,0.000000000,0
338,337.000000,5.881759579,0.000000000,0
339,338.000000,5.899212872,0.000000000,0
340,339.000000,5.916666164,0.000000000,0
341,340.000000,5.934119457,0.000000000,0
342,341.000000,5.951572749,0.000000000,0
343,342.000000,5.969026042,0.000000000,0
344,343.000000,5.986479334,0.000000000,0
345,344.000000,6.003932627,0.000000000,0
346,345.000000,6.021385919,0.000000000,0
347,346.000000,6.038839212,0.000000000,0
348,347.000000,6.056292504,0.000000000,0
349,348.000000,6.073745797,0.000000000,0
350,349.000000,6.091199089,0.000000000,0
351,350.000000,6.108652382,0.000000000,0
352,351.000000,6.126105675,0.000000000,0
353,352.000000,6.143558967,0.000000000,0
354,353.000000,6.161012260,0.000000000,0
355,354.000000,6.178465552,0.000000000,0
356,355.000000,6.195918845,0.000000000,0
357,356.000000,6.213372137,0.000000000,0
358,357.000000,6.230825430,0.000000000,0
359,358.000000,6.248278722,0.000000000,0
360,359.000000,6.265732015,0.000000000,0
