segment_id,window_id,sample_count,t_start_s,t_end_s,i_mean_A,torque_mean_Nm,speed_mean_rad_s,accel_fit_rad_s2,naive_J_kgm2,is_pulse_segment
8,1,31,0.588,0.618,-0.239943876281321,-0.00143966325768793,15.2884163516789,-1345.29925652177,1.07014350205629e-06,1
8,2,31,0.603,0.633,-0.240304523927937,-0.00144182714356762,-3.41408880467301,-1141.24957381695,1.26337584402803e-06,1
8,3,31,0.618,0.648,-0.240314266076385,-0.00144188559645831,-19.885287506178,-1041.36651632341,1.38460913987224e-06,1
9,1,31,0.668,0.698,-0.000133042103104322,-7.9825261862593e-07,-42.861389487784,196.83693594085,-4.05540055178367e-09,0
9,2,31,0.683,0.713,-0.000101917263900722,-6.11503583404334e-07,-39.9508489352527,191.422250870096,-3.19452718074721e-09,0
9,3,31,0.698,0.728,0.000322964173351594,1.93778504010957e-06,-37.1235300756856,186.684169030829,1.03800180281466e-08,0
10,1,31,0.748,0.778,0.240385577588013,0.00144231346552808,-1.92700453377137,1213.97926768533,1.18808739483509e-06,1
10,2,31,0.763,0.793,0.240163781302336,0.00144098268781401,15.1529236222959,1050.2165056143,1.37208154710075e-06,1
10,3,31,0.778,0.808,0.240160954776874,0.00144096572866124,30.7287479878819,1024.08485341524,1.40707649747551e-06,1
11,1,31,0.828,0.858,3.6064615515978e-05,2.16387693095868e-07,52.8382345243179,-213.165913715799,-1.01511395196309e-09,0
11,2,30,0.844,0.873,-0.000175934623160038,-1.05560773896023e-06,49.5727210179916,-207.845244086148,5.07881594116582e-09,0
11,3,30,0.859,0.888,-0.000123056922184037,-7.38341533104222e-07,46.503757049482,-202.432372539146,3.64734910648466e-09,0
12,1,31,0.908,0.938,-0.240043345054321,-0.00144026007032592,10.0734729911321,-1312.32504544633,1.09748729960121e-06,1
12,2,31,0.923,0.953,-0.240233399363387,-0.00144140039618032,-8.0177870220531,-1087.83556834507,1.3250167930923e-06,1
12,3,31,0.938,0.968,-0.239836402299674,-0.00143901841379804,-24.0186110331276,-1035.57837462939,1.38957943604514e-06,1
13,1,31,0.988,1.018,-0.0003282942991587,-1.9697657949522e-06,-46.6694527219149,202.626590703231,-9.72116141379065e-09,0
13,2,31,1.003,1.033,-0.000514858886863319,-3.08915332117992e-06,-43.6578225785958,198.267058447806,-1.55807694196116e-08,0
13,3,31,1.018,1.048,-0.000464000182175749,-2.78400109305449e-06,-40.7438984622595,192.509843589982,-1.44616038387315e-08,0
14,1,31,1.068,1.098,0.239471492275194,0.00143682895365116,-4.97458583386141,1256.46751186092,1.1435464427752e-06,1
14,2,30,1.084,1.113,0.239794555345846,0.00143876733207508,13.043450723829,1055.08804447715,1.36364670190919e-06,1
14,3,31,1.098,1.128,0.240289035894427,0.00144173421536656,28.1584332508561,1028.07237469998,1.40236645867204e-06,1
15,1,31,1.148,1.178,0.000551293436572083,3.3077606194325e-06,50.49209754387,-209.658636799335,-1.57768869908201e-08,0
15,2,30,1.164,1.193,0.000485724436489676,2.91434661893806e-06,47.2899397270474,-204.517800419349,-1.42498433533042e-08,0
15,3,30,1.179,1.208,0.000174190823233824,1.04514493940294e-06,44.2927295481284,-198.146438475968,-5.27460875623915e-09,0
16,1,31,1.228,1.258,-0.240377171895611,-0.00144226303137367,8.14441789523655,-1292.61911854251,1.11576798662849e-06,1
16,2,30,1.243,1.272,-0.240161736902301,-0.00144097042141381,-9.16382261696112,-1074.8039265726,1.34068213353934e-06,1
16,3,31,1.258,1.288,-0.239749742997598,-0.00143849845798559,-25.564911644366,-1032.47664585039,1.39325035947983e-06,1
17,1,31,1.308,1.338,-0.000306582017493141,-1.83949210495885e-06,-48.1244597083437,204.719720003379,-8.98541725696229e-09,0
17,2,31,1.323,1.353,-0.000427695630217999,-2.56617378130799e-06,-45.0742344127188,199.156630167026,-1.28852038677087e-08,0
17,3,31,1.338,1.368,-0.000522222490385481,-3.13333494231288e-06,-42.091060111806,196.15535263546,-1.59737417318198e-08,0
18,1,31,1.388,1.418,0.240106492917382,0.00144063895750429,-6.17901092764918,1271.49385740446,1.13302864116474e-06,1
18,2,31,1.403,1.433,0.240577816416051,0.00144346689849631,11.4361680195898,1063.00408140449,1.35791284694705e-06,1
18,3,30,1.419,1.448,0.24055079558833,0.00144330477352998,27.7618619822878,1028.49076846709,1.40332302221938e-06,1
19,1,31,1.468,1.498,6.35337658350424e-05,3.81202595010254e-07,49.6004764894114,-206.545080501307,-1.84561449774081e-09,0
19,2,31,1.483,1.513,-0.000187664255134974,-1.12598553080984e-06,46.5272673373958,-203.568409562893,5.53123902292887e-09,0
19,3,31,1.498,1.528,0.000313248896891601,1.87949338134961e-06,43.5465378149101,-197.306621231363,-9.52574915945523e-09,0
20,1,31,1.548,1.578,-0.240223921081744,-0.00144134352649046,7.39364257639815,-1285.66662180415,1.12108652588947e-06,1
20,2,30,1.564,1.593,-0.239887001731271,-0.00143932201038763,-10.9051738443402,-1064.44690352022,1.35217830558544e-06,1
20,3,31,1.578,1.608,-0.239515044399987,-0.00143709026639992,-26.1598892471148,-1030.65182860081,1.39435086274566e-06,1
21,1,31,1.628,1.658,0.000115278515871422,6.91671095228535e-07,-48.6897285243059,205.777639035744,3.36125488886763e-09,0
21,2,30,1.644,1.673,0.000327315419476345,1.96389251685807e-06,-45.5256030715555,201.435419081215,9.74948956750385e-09,0
21,3,31,1.658,1.688,0.000123395482991118,7.40372897946706e-07,-42.6420662515438,195.852095681075,3.7802653853259e-09,0
