bandwidth_hz,kp_scale,ki_scale,kp,ki,gain_1khz,phase_lag_deg,lag_us,rmse_a,max_abs_error_a,iq_peak_pos_a,iq_peak_neg_a,iq_pp_a,vq_abs_max_v,voltage_norm_max,score
1000,1,1.15,0.345575191894877,20954.4229994439,0.93867519158452,41.5995825305491,115.554395918192,0.243824511166464,0.603707123028411,0.309425414199366,-0.309450482680667,0.618875896880033,0.897712326175303,0.144058079173134,0.312356365803836
1000,1,1.3,0.345575191894877,23687.608608067,0.988410071323111,36.7342777357014,102.039660376948,0.235793158651165,0.601018225962871,0.330299634065147,-0.330464875755396,0.660764509820543,0.963563066921275,0.154625307613017,0.292053568122406
1000,1.1,0.7,0.380132711084365,12754.8661735746,0.663407208512824,58.5883489876138,162.745413854483,0.271936173163311,0.572374419085699,0.262935975084583,-0.272374419085699,0.535310394170282,0.814380322807971,0.130685590026313,0.393477975793449
1000,1.1,0.85,0.380132711084365,15488.0517821977,0.774321232130564,52.5956302936789,146.098973037997,0.262208828558129,0.5916701155007,0.287195462506486,-0.2916701155007,0.578865578007186,0.851687803546146,0.136672412148749,0.363670150785591
1000,1.1,1,0.380132711084365,18221.2373908208,0.863293268929293,46.7556536081647,129.876815578235,0.251576558219364,0.599578659620213,0.298895688406943,-0.299578659620213,0.598474348027155,0.868877262611068,0.13943084642966,0.335380711738681
1000,1.1,1.15,0.380132711084365,20954.4229994439,0.93140957829455,41.3838852714684,114.95523686519,0.241663650379241,0.603212109116555,0.307164176876,-0.307181939796219,0.614346116672218,0.891290069342402,0.143027484007703,0.310598520456988
1000,1.1,1.3,0.380132711084365,23687.608608067,0.981806524046774,36.5968395235667,101.657887565463,0.23366973192063,0.60129270108814,0.326707142223907,-0.326724601529094,0.653431743753001,0.950141329383772,0.152471488764326,0.290384338801302
1000,1.25,0.7,0.431968989868597,12754.8661735746,0.653584302029369,57.4679089093039,159.633080303622,0.267768751976677,0.570710322564781,0.261084765231114,-0.270710322564781,0.531795087795895,0.811261950237935,0.130185177199746,0.388612185137696
1000,1.25,0.85,0.431968989868597,15488.0517821977,0.763328155635763,51.8353420610853,143.987061280792,0.258430089162061,0.590337427141488,0.285470733911467,-0.290337427141488,0.575808161052954,0.849116608522951,0.136259806233223,0.359850286690113
1000,1.25,1,0.431968989868597,18221.2373908208,0.852158330678427,46.2470080732551,128.463911314597,0.248155212035793,0.598919056348917,0.297814643459167,-0.298919056348917,0.596733699808084,0.867025646206576,0.139133713044254,0.332309891077833
